Nom;Pré-Requis;Description & Effet;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;;Temps (minutes);Temps (downtime);Max par Downtime
Cargo;Pilotage;La navette est équipée d'une extension cargo lui permettant de transporter des volumes importants de marchandise, similaire à un conteneur. Cet espace de stockage permet également de libérer de l'espace dans le cockpit de la navette et ainsi de transporter 1 passager supplémentaire.;2000;200;Sécurité Biométrique, Plastoïde, Superalliage (3), Nanotubes (3), Tungstène (3);1 Downtime;;;1;1
Systèmes de combat ;Pilotage, Entrainement militaire;La navette est équipée de systèmes de combat polyvalents conçus pour les transports de troupes et autres vaisseaux de soutien. La navette est munie de contre-mesures antimissiles, d'un bouclier léger, de missiles à fragmentation et d'une batterie d'armes automatiques conçue pour les tirs de suppression et les combats spatiaux. La navette peut transporter respectivement deux contre-mesures et deux missiles (lesquels sont rechargés sans frais entre les événements). D'autres types de missiles peuvent également être installés par le pilote s'il en a en sa possession. Cette amélioration de navette peut influencer le déroulement d'action de type Opération en Downtime, de même que des missions en navette pendant l'événement.;2500;80;Générateur de bouclier lourd, Logiciel, Missile à fragmentation, Grenade magnétisée, Carburant (3), Munitions anti-matérielles (2x6);1 Downtime;;;1;1
Sonde d'exploration;Pilotage, Informatique;La navette est munie d'une sonde d'exploration télécommandée pouvant être utilisée pour explorer un site sans quitter la sécurité du cockpit. La sonde est de la taille d'un ballon et est capable de transmettre son et image en temps réel. Elle est aussi munie d'appendices capables de manipulations simples (ouvrir une porte, entrer un mot de passe, ramasser un objet ou collecter un échantillon). La sonde doit demeurer dans un rayon de 1 kilomètre de la navette pour fonctionner adéquatement.;750;50;Batterie, Logiciel (2), Plastoïde (2);20 minutes OU 1 Downtime;;20;1;1
Arrimage forcé;Pilotage avancé;La navette spatiale dispose d'un système d'arrimage capable de s'attacher à un vaisseau ou station spatiale et de créer une porte improvisée dans la carlingue. Cette amélioration sert surtout à aborder des vaisseaux et installations de façon hostile, puisqu'elle cause de dommages significatifs. Le trou ainsi formé demeure étanche au vide spatial tant que la navette reste en place. ;1250;100;Bombe thermique, Grenade collante, Superalliage;1 Downtime;;;1;1
Systèmes furtifs ;Pilotage;La navette est munie de systèmes furtifs et de bloqueurs de signature thermique, la rendant indétectable à l'aide de radars et autres systèmes de surveillance technologique. Elle peut toutefois toujours être vue si observée directement ou capturée sur caméra. ;900;100;Disrupteur (2), Prométhium (2), Cryofluide (3), Beryllium (5);1 Downtime;;;1;1
Capteurs avancés ;Pilotage;La navette est munie de capteurs scientifiques capables de communiquer des données de base au pilote concernant un site donné. Les informations communiquées avisent l'équipage si le site comporte des caractéristiques extrêmes (gravité, température, pression atmosphérique), s'il y a des émanations radioactives, si l'air est respirable et s'il y a présence de champs électromagnétiques ou de signatures biologiques dans la zone. La pilote doit survoler le site afin de faire usage des capteurs. ;1100;200;Analyseur de paquet, Platine, Logiciel (3), Rhodium (4), Prométhium (4);30 minutes OU 1 Downtime;;30;1;1
Agromodule;Bioproducteur;L'employé est en possession d'une serre, d'un bassin microbiologique ou d'une ferme d'insecte capable de produire des denrées alimentaires. Entre les événements, toute Biomasse-fille en possession du propriétaire d'un agromodule peut être utilisée comme fertilisant pour générer des crédits pour un ratio de (1:60c), cet échange requiert une action de Downtime. Si l'employé possède aussi la compétence Commerce, l'échange peut être effectué dans le même action et le ratio est alors de (1:70c). Un agromodule peut également être attaché à une Habitation pour en recycler les déchets organiques et la rendre autosuffisante en oxygène et en nourriture, permettant d'y abriter des résidents en autarcie pour de longues durées.  ;1000;60;Culture cellulaire, Batterie, Solution nutritive, Thermoplastique, Nanotubes (2), Biomasse (2);1 Downtime;;;1;1
Habitation;"
-";L'employé dispose d'une unité d'habitation privée confortable sur la colonie ou au sein de la station orbitale. Lors de l'acquisition de cette habitation, l'individu peut décider d'en faire un usage personnel ou de la louer pour générer des revenus. Une habitation génère 250 crédits au début de chaque événement en revenus locatifs. Si l'habitation est occupée par son propriétaire, il lui est alors possible de l'utiliser pour recevoir des événements privés, héberger un allié ou organiser des rencontres mondaines lors d'Opérations sans nécessité la dépense en points d'Influence normalement requise pour sécuriser un tel lieu.;1250;200;Nanotubes, Logiciel (2), Biomasse (3), Yttrium (4), Thermoplastique (6);1 Downtime;;;1;1
Systèmes d'alarme;Habitation;L'habitation de l'employé est protégée par des systèmes d'alarme et des sécurités biométriques élaborées, en faisant un refuge sécuritaire. Advenant une Opération hostile ciblant le lieu, le propriétaire et ses invités seront minimalement en mesure de réagir à la menace, assumant que cette dernière n'est pas simplement écartée par les systèmes de sécurité. ;750;50;Système d'alerte, Logiciel (3), Yttrium;1 Downtime;;;1;1
"Serveur
";Informatique ;L'employé dispose d'un serveur personnel lui permettant de concevoir son propre environnement de réalité virtuelle, lequel peut être utilisé pour héberger des rencontres privées lors d'actions de type Opération. Un serveur peut également servir à effectuer des simulations en série afin de déterminer les probabilités d'un événement donné. Il est possible au propriétaire d'un serveur d'utiliser une action de Downtime pour consulter et analyser ces simulations. Le joueur peut alors envoyer à l'équipe d'animation un questionnement ou un scénario dont il souhaite tester les variables et la probabilité.;1500;150;IA, Plastoïde, Supraconducteur, Rectification Dynamique;1 Downtime;;;1;1
"
Module de production ";"
-";L'employé dispose d'une petite usine automatisée programmable pour différentes tâches de production, qu'il s'agisse de biens manufacturés, de produits pharmaceutiques ou même de copies de logiciels. Le propriétaire dispose d'une action de Downtime bonus réservée à la fabrication d'équipement et peut ignorer la quantité maximum d'objets permise par action de Downtime pour la fabrication d'équipement. Il est toutefois toujours nécessaire de dépenser plusieurs actions pour fabriquer des objets différents. Ces avantages ne s'appliquent pas aux augmentations et améliorations d'augmentation. ;3000;200;Robot : Industriel, Logiciel;1 Downtime;;;1;1
Entrepot ;Fournisseur ;L'employé est en contrôle d'un entrepôt de marchandise sécurisé en orbite ou sur Horizon-C. Cet entrepôt augmente de 500 crédits la limite totale d'achat pouvant être effectué par utilisation de la compétence Fournisseur. Cet entrepot peut également servir dans le contexte d'une action d'Opération pour entreposer des biens ou les mettre en sûreté sans nécessiter de dépense de points d'Influence.;850;150;Sécurité Biométrique, Logiciel, Plastoïde, Platine (2), Tungstène (5);1 Downtime;;;1;1
"Excavateur
";Géologie;L'employé dispose d'une plateforme mobile d'excavation automatisée capable d'exploiter des gisements de minerais et de raffiner la matière première. Un escavateur peut être déployé dans le système Horizon selon les modalités du Sous-système de Géologie afin de générer 60 crédits de valeur de minerais par 30 minutes de travail. Tous les géologues ont accès à un excavateur de base, mais peuvent acquérir de la machinerie additionnelle pour augmenter leur production de minerais.;3000;100;Robot : Industriel, Prométhium, Rhodium (3);1 Downtime;;;1;1
"Spatioport clandestin 
";Marché noir ;L'employé a établi un spatioport clandestin permettant des voyages et des livraisons de marchandise non-enregistrée. Pendant ses actions de Downtime, il lui est possible d'ignorer les contrôles d'embarquement et de voyager sous une fausse identité lors d'Opérations sans avoir besoin de dépenser de points d'Influence. Le propriétaire d'un spatioport clandestin peut également influencer les produits illicites qui seront importés sur Horizon-C. Lors de la remise des actions de Downtime, il lui est possible de passer commande pour des ressources et objets appartenant à 2 catégories relativement larges (explosifs, médicaments, virus informatique, améliorations cybernétiques, etc.), lesquels sont garantis d'être présentes sur le Marché noir lors du prochain événement en quantités variables. ;1000;50;Batterie (2), Logiciel, Disrupteur (2), Carburant (4), Tungstène (5);1 Downtime;;;1;1
