Nom;Identification;Description & Effet;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime;Compétence
Uranium;à venir;Ce métal radioactif est reconnu pour sa grande densité, sa dureté et ses propriétés inflammables;20;-;-;-;;;;Géologie
Tungstène;à venir;Ce métal est reconnu pour sa dureté, sa densité et sa résistance exeptionnelle aux grandes températures;20;-;-;-;;;;Géologie
Tantale;à venir;Ce métal versatile est largement utilisé en électronique et en cybernétique, où il tempère la réaction des implants avec le corps de l'hôte;30;-;-;-;;;;Géologie
Beryllium;à venir;Ce métal est reconnu pour sa légèreté et ses propriétés non-magnétiques ;30;-;-;-;;;;Géologie
Platine;à venir;Ce métal précieux est un catalyseur chimique largement utilisé, et est également employé en cybernétique;30;-;-;-;;;;Géologie
Iridium;à venir;Ce métal est largement employé dans des alliages pour augmenter la résistance et durcir d'autres matériaux;30;-;-;-;;;;Géologie
Yttrium;à venir;Ce métal rare est reconnu pour ses propriétés conductives exeptionnelles très utiles en électronique;35;-;-;-;;;;Géologie
Zirconium;à venir;Ce métal rare est reconnu pour sa grande résistance à la corrosion, aux radiations et aux hautes températures;35;-;-;-;;;;Géologie
Rhodium;à venir;Cet métal rare est utilisé pour un grand nombre d'instruments scientifiques et d'instruments de précision;35;-;-;-;;;;Géologie
Prométhium;à venir;Ce métal rare est hautement instable, ses propriétés changeant radicalement selon ses conditions. Il est réservé à des usages de pointe;50;-;-;-;;;;Géologie
Nom;Identification;Description & Effet;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;;;;
Carburant;Liquide jaune;Liquide inflammable tout usage, le carburant à l'état brut comporte peu d'usages sans outils ou équipements spécialisés. Un chimiste peut toutefois utiliser un dose de carburant pour méthodiquement mettre le feu et carboniser un corps ou objet, effaçant toute trâce biologique identifiable. La combustion prend 1 minute. Un chimiste passager peut également utiliser 2 doses de carburant pour substituer aux 100 crédits nécessaires pour utiliser la compétence Pilotage (ou 4 doses pour le 200 crédits de Pilotage spatial). ;40;20;-;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Chimie
Cryofluide;Liquide bleu;Liquide maintenu à des températures extrêmement basses, le cryofluide est dangereux à manipuler. Utilisé par un chimiste, une dose peut toutefois servir à fragiliser un objet, permettant ensuite de le casser sans effort. La congélation prend 1 minute. Un chimiste peut aussi asperger une cible de cryofluide, infligeant 1 dégât ''cryo'' par dose utilisée. ;40;20;-;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Chimie
Thermoplastique;Plastique blanc solide (ex: coroplast);Matériaux versatile par excellence, le thermoplastique est utilisé pour de nombreux projets, mais rarement à l'état brut. Un chimiste peut toutefois utiliser une dose de thermoplastique pour créer un moulage relativement fidèle de n'importe quel objet pouvant être tenu dans la paume d'une main, ou immortaliser une empreinte digitale si moulé directement sur un doigt. Le moulage requiert 1 minute de travail. ;40;20;-;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Chimie
Solution nutritive;Liquide rouge;Composante vitale de nombreuses biotechnologies, la solution nutritive contient le nécessaire pour garder des cellules en vie et en santé. Injectée par un chimiste, elle peut même prolonger le temps de péril d'un blessé de 5 minutes supplémentaires (non-cumulable). ;40;20;-;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Chimie
Acide;Liquide vert;Liquide au PH extrêmement bas, l'acide est un produit chimique dangereux à manipuler. Utilisée par un chimiste, une dose peut toutefois servir à asperger une cible d'acide, infligeant 1 dégât ''brûle'' par dose utilisée. Si trois doses ou plus sont utilisées de la sorte, l'acide inflige également une condition ''Blessure : Corrosion''. Cette condition est non-cumulable. ;40;20;-;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Chimie
Base;Liquide mauve;Liquide au PH extrêmement élevé, la base est dangereuse entre les mains d'un néophyte. Employée par un chimiste, toutefois, elle peut être utilisée pour asperger une cible, causant un effet ''Défectueux'' de 30 secondes.;40;20;-;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Chimie
Batterie;Anneau métallique;Une batterie contient une importante charge électrique et peut être utilisée par divers objets ou pour compléter de nombreux schémas de fabrication. Une batterie est en fait un matériau supraconducteur qui est hyper-chargé lorsque très froid. L'alliage particulier et la méthode utilisé permet de garder la charge dans la batterie même à température pièce.;100;-;Acide + Cryofluide;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Chimie
Explosif;Plasticine blanche emballé sous plastique;Un explosif est une matière qui explore lorsque soumise à un courant électrique ou un impact puissant. Dangereux à manipuler, il peut être utilisé dans la conception de plusieurs grenades et bombes. Malgré le danger, un chimiste peut lancer une dose d'explosif brut à la façon d'une grenade pour infliger 1 dégat ''repousse'' dans un rayon de 2 mètres à l'impact. S'il reçoit des dégâts ''choc'' tout en transportant un explosif brut, l'explosif est détruit et inflige 1 dégât au porteur. ;100;-;Base + Acide;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Chimie
Thermite;Poudre grise (sel+poivre);La thermite est une poudre pyrotechnique particulièrement utile en démolition et sabotage. Placée sur une structure et activée par un chimiste, un dose de thermite détruit jusqu'à 1 mètre cube de matière, permettant de créer des accès ou d'affaiblir des constructions. Il faut 1 minute pour placer une dose de thermite, et 1 minute pour compléter la combustion. ;100;20;Acide + Uranium;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Chimie
Nom;Identification;Description & Effet;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;;;;
Plastoïde ;à venir;Un plastoïde est un nanomatériaux qui combine les propriétés versatiles, la souplesse et la légèreté du plastique avec la résistance et la dureté des composés de type acier. ;175;10;Thermoplastique (2) + Beryllium (2);5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Nanotech
Superalliage;à venir;Un superalliage est un métal exeptionnellement dense, résistant et dur, capable d'endurer des stress de types variés mieux que tout métal conventionnel.;175;-;Iridium (3) + Tungstène (3);5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Nanotech
Nanotubes;à venir;Les nanotudes de carbone sont des structures nanotechnologiques à la fois légères et robustes réputées pour leur neutralité chimique, leur non-réactivité organique et leur propriété magnétiques neutres. ;175;10;Thermosplastique (2) + Platine (2);5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Nanotech
Supraconducteur ;à venir;Un supraconducteur est un matériel de conductivité parfaite ou quasi-parfaite, capable de transporter et accumuler de l'énergie électrique avec une efficassité sans comparaison avec les matériaux et produits chimiques conventionnels.;200;10;Yttrium (3) + Cryofluide;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Nanotech
Biométal ;à venir;Le biométal est un nanomatériaux de base métalique chimiquement réactif utilisé pour reproduire des procédés organiques artificiellement.;200;10;Tantale (3) + Platine (3);5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Nanotech
Nanocrystaux;à venir;Des nanocrystaux sont une structure minérale artificielle capable d'osciller entre des propriétés solides et liquides selon des courants électriques.;225;-;Rhodium (3) + Acide + Base;10 minutes OU 1 Downtime pour jusqu'à 3 doses;10;1;3;Nanotech
