Nom;Emplacement;Pré-Requis;Description et effets;Si défectueux (en plus de la perte de bonus);Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime
Robot : Life Saver;;Robot léger au design d'araignée ou de sphère rotative de la grosseur d'un poing;Ce robot classique est utilisé partout dans le Système solaire pour pallier au manque de medic en zone de combat. Lancé sur une personne inconsciente, le robot entreprend immédiatement des manoeuvres de secourisme pour la maintenir en vie (équivalent de la compétence secourisme) grâce des électrochocs. Le robot peut faire les manoeuvres de secourisme pour une durée maximale de 10 minutes. Alternativement, le robot peut être chargé d'une dose de Biogel pour administration sur la cible. Charger une dose de biogel dans le robot prend 2 minutes hors-combat. De plus, un Médecin peut aussi contrôler le robot à distance pour faire des opérations complexes. Après 3 utilisations, le robot doit être rechargé avec une nouvelle Batterie.;-;400;30;Thermoplastique (4) + Logiciel + Rhodium + Yttrium;1 Downtime;;1;1
Robot : Assistant;;Boîte fermée ou props robotique décorum représentant l'item;Ce robot assiste les diverses spécialités biomédicales ou techniques. Lors de sa création, le robot est associé à une seule compétence parmi la liste suivante: biologie, médecine, pharmacologie, génétique, biotechnologie, exobiologie, bioingénierie, mécanique, armurerie, balistique, chimie, nanotech, électronique, mécatronique, protection matérielle, robotique, cybernétique. Pour tous ses utilisateurs, le robot diminue de 10 minutes (min. 5) les tâches reliées à cette compétence (rétroingénierie, fabrication d'équipement, certains effets de compétences, etc.). De plus, le robot compte comme un allié pour le pourcentage de chances de réussite d'une rétroingénierie de cette compétence, si applicable.;-;1000;100;Plastoïde (2) + Logiciel + Uranium (2) + Nanotubes + Rhodium ;1 Downtime;;1;1
Robot : Industriel ;;Hors-jeu;Robot (pas androïde) qui est nécessaire à l'établissement d'infrastructures industrielles ou d'autres projets à grande échelle. ;-;2000;50;Superalliage (4) + Uranium (2) + IA + Nanotubes + Supraconducteur + Rhodium;1 Downtime;;1;1
Plateforme d'Androïde;;-;Une plateforme d'androïde est une machine humanoïde prête à héberger une IA ou une Conscience pour performer des tâches physiques parmi les humains. Une plateforme vierge est idéale pour réinitialiser une plateforme détruite avec la dernière sauvegarde de son occupant (voir Interface Extranet, dans Équipement : Robotique). Une plateforme d'androïde est une enveloppe passive et inerte en attente d'héberger une IA ou Conscience. Une plateforme vierge commence avec 2 augmentations robotiques au choix du roboticien. Pour un coût de fabrication de 250 crédits supplémentaires, le roboticien peut alternativement utiliser les restes de l'androïde d'origine pour transférer toutes les augmentations et améliorations robotiques sur la nouvelle plateforme. Il doit avoir accès à une carcasse représentant au moins 75% de la masse de la plateforme originelle pour effectuer un tel transfert. Une plateforme peut également être créée avec des améliorations supplémentaires si les coûts de production en temps et ressources sont rencontrés.;-;1250 à 1500;50;Thermoplastique (3) + Plastoïde (2) + Supraconducteur + Nanocrystaux + Logiciel;1 Downtime;;1;1
Blindage ;Coque;-;Le revêtement extérieur de l'androïde est renforcé par des couches de superalliage et de nanotubes. L'androïde dispose de 2 PA supplémentaires, en addition à ses points d'armure de base.;Aucune perte de bonus;-;-;-;-;;;
Canon intégré ;Bras;Avant-bras avec tubes, brassard, etc;L'avant-bras de l'androïde contient un canon à calibre lourd capable de projeter un projectile dévastateur à courte portée. Chaque tir inflige 3 dégats ''repousse'' à une distance de 3 mètres. Recharger le canon requiert 2 minutes de travail hors-combat et requiert une dose de Tungstène. ;Bras inutilisable (pend mollement), désarmement;-;-;-;-;;;
Compartiment interne;Générique;Panneau avec boutons sur la poitrine ou l'abdomen ;Le thorax de l'androïde dispose d'un espace de stockage capable de dissimuler des objets. Cet espace de stockage est d'un volume de 1.5 litre ou juste assez gros pour dissimuler :1 fusil de catégorie I, 1 arme courte, 3 grenades ou 6 petits objets divers. Seul l'androïde peut ouvrir son propre compartiment interne. Il est possible de forcer l'ouverture du compartiment après 1 minute de travail avec l'aide de la compétence Piratage avancé. Les objets cachés dans le compartiment doivent être transportés par le joueur et identifiés comme ''hors-jeu'' tant qu'ils sont théoriquement cachés dans le compartiment. ;Aucune perte de bonus;-;-;-;-;;;
Disjoncteurs;Générique;-;"L'androïde est équipé de disjoncteurs indépendants qui analysent constamment le flot électrique typique de ces circuits. Une fois par heure, dès qu'il est la cible d'un effet ""piratage"" ou ""magnétique"", l'androïde entre en veille (inconscience/paralysie) pendant 10 secondes à la place de subir l'effet négatif. De plus, l'androïde peut lui-même décider d'un mot de passe qui le met en veille (inconscience/paralysie) pour une durée illimitée, jusqu'à ce que le mot de passe soit répété.";Aucune perte de bonus;-;-;-;-;;;
Émetteur ;Tête;Antenne;L'androïde dispose d'émetteurs puissants capables de capter et de relayer de l'information avec précision directement à partir d'une antenne-émetteur. Cet émetteur est particulièrement utile pour le Piratage. L'androïde est capable d'utiliser les effets de la compétence Piratage de combat sans nécessiter de Piratage initial pour accéder aux systèmes de sa cible. L'androïde est également en mesure d'envoyer une balise de détresse avec sa localisation à des personnes de son choix sur la planète, même si le réseau Extranet est compromis.;Gagne une condition ''Défectuosité : Dérèglement Programme'';-;-;-;-;;;
Générateur ;Générique;LED(s) visible(s) sur soi;La plateforme d'androïde est munie d'un puissant générateur interne capable d'alimenter un bouclier énergétique. L'androïde débute avec un Générateur de bouclier civil intégré. Ce générateur et toute amélioration associée ne peuvent être volés ou détruits. ;Désactivation du bouclier énergétique;-;-;-;-;;;
Interface Extranet;Générique;-;L'androïde dispose d'un système de géolocalisation et peut se connecter directement à l'Extranet sans besoin d'une interface physique. Il peut même se connecter à un serveur de réalité virtuelle sans besoin d'infrastructures particulières. De plus, l'androïde store des informations en continu sur un serveur Extranet sécurisé, mettant constamment à jour une copie de sauvegarde de sa conscience. Même si ses souvenirs sont effacés ou altérés, il lui suffit de faire une demande d'accès auprès de son fournisseur Extranet pour obtenir une sauvegarde vierge d'altération. De plus, advenant la destruction totale de sa plateforme, l'IA ou la conscience peut avoir sa dernière sauvegarde installée dans un nouvel androïde et reprendre son existence sans plus d'inquiétude, tant qu'il dispose des crédits nécessaires (voir l'item Plateforme d'androïde). Certaines conditions sont d'ailleurs annulées lors de ce transfert à la discrétion de l'équipe d'animation.;Gagne une condition ''Défectuosité : Dérèglement Programme'';-;-;-;-;;;
Programme de socialisation ;Programme;Origine : IA;L'androïde possède une immense base de donnée synergologique de laquelle il tire des analyses en temps réel de ses interactions avec les humains et autres androïdes. Après une conversation de 5 minutes, il peut provoquer l'effet ''Psychologie: Vérité'' et demander à la cible si elle a mentit pendant la durée de la conversation. Si l'androïde possède la compétence Psychologie, il peut également demander quels étaient les mensonges proférés. ;Gagne une condition ''Défectuosité : Dérèglement Programme'';-;-;-;-;;;
Savoir Machine;Programme;Origine : IA;L'androïde possède des connaissances innées insérées dans son programme de base, lui conférant une expertise spécialisée bien que superficielle et rigide. Il lui est possible d'ignorer les pré-requis pour toutes les compétences de type Innovation, mais il perd accès au système d'Innovation et ne peut contribuer à la création de schémas ou à la rétro-ingénierie. Si un des usages de la compétence choisie implique l'accès aux pré-requis de cette compétence, l'androïde ne peut pas performer cet usage sans acquérir le pré-requis en question. ;Gagne une condition ''Défectuosité : Dérèglement Programme'';-;-;-;-;;;
Squelette mécanisé;Squelette;-;La plateforme d'androïde est munie d'un puissant squelette mécanisé, lui conférant une force additionnelle aux muscles artificiels normaux. Elle peut augmenter de 1 ses dégâts avec les armes de mêlée 3 fois par heure, et peut également accomplir des prouesses de force avec un certain temps de recharge. Une fois par heure, l'androïde peut bénéficier de ''Force Surhumaine'' pour une action spécifique ou déclarer un effet tel que ''Force ! Je te désarme !'' ou ''Force ! Je te retiens !''.;Gagne une condition ''Défectuosité : Dérèglement Plateforme'';-;-;-;-;;;
Stabilisateur triaxial;Bras;-;Si l'androïde ne se déplace pas pendant qu'il fait feu avec son arme, son bras mesure et stabilise le recul de son arme pour maximiser ses attaques. Il inflige alors 2 dégâts (+ bonus d'équipement) avec les armes à feu. Le joueur doit garder les pieds immobiles et fermement plantés au sol pour bénéficier des effets de cette augmentation.  ;Bras inutilisable (pend mollement), désarmement;-;-;-;-;;;
Superprocesseur ;Générique;-;La plateforme d'androïde est munie d'un processeur interne supérieur aux standards de l'industrie. L'androïde peut stocker jusqu'à 3 programmes ou virus dans sa mémoire vive interne et les réutiliser plus tard. Il n'a pas besoin d'un support plaquette. Il peut également récupérer plus rapidement face aux effets ''Piratage'', réduisant leur durée de 50%.;Gagne une condition ''Défectuosité : Dérèglement Programme'';-;-;-;-;;;
Systèmes redondants ;Générique;-;L'androïde dispose de multiples exemplaires de chacune de ses composantes vitales, le rendant impossible à neutraliser sans faire appel à la force brute. Il est immunisé à la règle de ''Prise d'otage'', ne recevant que 1 dégàt de toute attaque effectuée dans un tel contexte. L'androïde doit également annoncer ''Résiste!'' s'il demeure conscient après une telle attaque. ;Aucune perte de bonus;-;-;-;-;;;
Revêtement inerte;-;Blindage;"L'androïde est recouvert d'un revêtement non réactif qui le protège des acides et autres substances incendiaires, lesquels glissent sur sa peau synthétique sans effet trop dévastateur. Il est immunisé à l'effet de souffrance et panique associé aux dégâts ""brûle"", mais pas aux dégâts eux-mêmes. Il doit annoncer ''Résiste'' lorsqu'il reçoit des dégâts brûle.";Aucune perte de bonus;1200;100;Zirconium (6) + Nanotubes (3) + Carburant + Acide;30 minutes (dont 15 minutes d'installation avec un Chimiste) ou 1 Downtime;30;1;1
Matrice défensive;-;Blindage;La peau de l'androïde comprend une couche de cristaux liquides réactifs sous le blindage capables d'absorber les impacts et de se durcir pour créer une protection secondaire en cas de dommage. L'androïde dispose de 2 PA bonus et ces PA se réparent automatiquement sans coût dès que l'androïde subit une réparation qui l'amène à au moins 6 PA. ;Gagne une condition ''Défectuosité : Dérèglement Plateforme'';1500;100;Nanocrystaux (3) + Platine (2) + Logiciel + Biométal;45 minutes (dont 30 minutes d'installation) ou 1 Downtime;45;1;1
Munitions radioactives;-;Canon intégré;"Le canon de l'androïde peut alternativement être chargé avec une dose d'Uranium pour infliger une condition de type Radiation à la cible après le combat (annoncer: ""Radiation! Condition!""), en plus des effets normaux du canon intégré.";-;450;50;Superalliage + Zirconium (3);15 minutes (dont 5 minutes d'installation) ou 1 Downtime;15;1;1
Scanneur intégré;-;Compartiment interne;Le compartiment interne de l'androïde est équipé d'un scanneur rayon-X. En plaçant un objet dans celui-ci, le scan effectue une rétro-ingénierie à 100% de chance et sans détruire l'objet, mais un tel scan peut être effectué une seule fois par objet. L'androïde doit tout de même avoir les compétences reliées pour faire la rétro-ingénierie.;-;750;100;Logiciel (3) + Rhodium (2) + Beryllium (2) + Uranium + Plastoïde;20 minutes (dont 10 minutes d'installation) ou 1 Downtime;20;1;1
Commutateur;-;Disjoncteurs + Générateur;L'androïde contrôle plus efficacement son flux énergétique. Il peut décider de restreindre ses capacités d'intelligence-programme temporairement pour obtenir d'autres bonus. Ce mode dure 15 minutes (maximum 1 fois par heure). Il ne peut utiliser ses compétences durant cette période, mais gagne instantanément 6 PBE (peut dépasser le maximum de son générateur) et inhibe toutes ses conditions (défectuosité, virus, etc.) pour cette durée.;-;750;100;Supraconducteur + Yttrium (4) + Rhodium (3) + Logiciel;20 minutes (dont 10 minutes d'installation) ou 1 Downtime;20;1;1
Électroaimant;-;Générateur;Le générateur de l'androïde alimente un puissant électroaimant capable de focaliser des forces magnétiques sur demande. Une fois par heure, l'androïde peut désigner une cible à 5 mètres et annoncer un effet ''Magnétique! Désarmement! Lance ton arme dans ma direction !''. Alternativement, il peut également utiliser cet aimant pour créer un effet ''Magnétique : Équipement défectueux, 1 minute'' au contact. ;-;1000;100;Supraconducteur (2) + Cryofluide (2) + Yttrium (2) + Zirconium (2) + Logiciel;30 minutes (dont 15 minutes d'installation) ou 1 Downtime;30;1;1
Protocole d'autodestruction;-;Générateur;Le générateur de l'androïde comporte une composante permettant de provoquer une surcharge catastrophique sur demande. L'androïde peut activer le protocole d'autodestruction à volonté. Il doit alors cesser de bouger pendant 5 secondes, après quoi il explose, tombant immédiatement à 0 PA et causant une déflagration pour 6 dégâts ''choc'' sur un rayon de 4 mètres.;-;1500;150;Prométhium (6) + Supraconducteur (2) + Yttrium (2) + Thermite + Disrupteur;30 minutes (dont 20 minutes d'installation avec un Balisticien) ou 1 Downtime;30;1;1
Capaciteurs;-;Générateur;Le générateur de l'androïde est capable de capter des surcharges électriques et de relâcher l'énergie accumulée sur demande. Une fois par heure, l'androïde peut annuler 1 attaque infligeant des dégâts ''choc''. Il doit alors annoncer ''Résiste''. Il a ensuite 5 minutes pour relâcher l'énergie accumulée. Il peut choisir d'infliger une attaque au contact infligeant ''3 choc'' ou alternativement recharger son bouclier énergétique (PBE) à pleine capacité instantanément.;-;1750;200;Zirconium (5) + Batterie (3) + Supraconducteur (2) + Tantale (4) + Modulateur de bouclier;45 minutes (dont 30 minutes d'installation) ou 1 Downtime;45;1;1
Déflecteurs énergétiques;-;Générateur + Blindage;Le bouclier énergétique de l'androïde est stabilisé par une série de modulateurs dispersés dans le blindage dermique de la plateforme. Il est capable de disperser des attaques diffuses sans compromettre l'intégrité du bouclier. Une fois par heure, tant que son bouclier énergétique est actif (minimum 1 PBE) l'androïde peut ignorer les dégâts associés à une attaque de zone (grenades, bombes, missiles, etc.). Il doit alors annoncer ''Résiste''. Cette protection est ineffective contre tout effet de zone n'étant pas un dégàt.;-;1200;100;Générateur de bouclier civil + Prométhium (3) + Rhodium + Modulateur de bouclier;45 minutes (dont 30 minutes d'installation) ou 1 Downtime;45;1;1
Technomancie ;-;Générateur + Émetteur;L'androïde peut se connecter physiquement à des androïdes, ordinateurs et robots détruits ou non-fonctionnels et les activer temporairement en détournant l'énergie de son générateur. Cette activation perdure pour une durée de 5 minutes après un contact de 10 secondes, et est interrompue advenant l'inconscience de l'androïde initiateur. Un androïde activé de la sorte peut parler et se déplacer en marchant lentement, mais ne peut combattre ou utiliser de compétence. Il est sous le contrôle total de l'androïde initiateur. Il peut être utilisé en combat à titre de couverture ou pour effectuer de tâches simples comme recharger une arme ou déplacer des blessés. Utilisée sur un ordinateur, cette amélioration permet de collecter des bribes d'information ou d'accéder à des données corrompues. Si utilisé plus d'une fois par heure, cet effet engendre une surcharge du générateur et la perte du bouclier énergétique jusqu'à réparation. ;-;1000;150;Rhodium (5) + Logiciel (3) + Prométhium (2) + Supraconducteur;30 minutes (dont 15 minutes d'installation) ou 1 Downtime;15;1;1
Analyse relationnelle;-;Programme de socialisation + Superprocesseur;S'il assiste à une conversation ou interaction sociale de 5 minutes ou plus entre deux individus, l'androïde est en mesure de faire une évaluation de la relation entre deux personnages. Il peut alors annoncer un effet ''Psychologie ! Vérité!'' et demander (en privé) à chacun des personnages s'ils sont ''Alliés, partenaires, indifférents, rivaux ou ennemis'' en se basant sur le moment et le contexte de la conversation observée.;-;750;100;Logiciel (3) + Rhodium (2) + Biométal + Prométhium;15 minutes (dont 10 minutes d'installation avec un Cyberpsychologue);15;1;1
Pistons hydrauliques;-;Squelette mécanisé;L'androïde augmente ses dégâts de 1 avec les armes de mêlée, sans limites de coups. Ce bonus remplace le bonus de dégât du Squelette mécanisé. Trois fois par heure, l'androïde peut également infliger des dégâts ''repousse'' en mêlée s'il utilise des armes moyennes ou longues.;-;1500;150;Superalliage (2) + Nanotubes + Plastoïde + Supraconducteur + Yttrium + Cryofluide (2);45 minutes (dont 15 minutes d'installation) ou 1 Downtime;45;1;1
Système de visée ;-;Stabilisateur triaxial + Superprocesseur;Trois fois par heure, alors qu'il bénéficie des bonus de l'augmentation Stabilisateur triaxial, les tirs de l'androïde peuvent infliger +1 dégât.;-;2000;200;Logiciel (6) + Rhodium (5) + Platine (5) + Yttrium (5) + Analyseur de paquets + Nanotubes + Plastoïde;45 minutes (dont 15 minutes d'installation) OU 1 Downtime;45;1;1
